regime_beta_log,estimator,threshold,false_go_abs,false_stop_abs
4.0,clipped_ips,0.58,0.003125,0.03125
4.0,clipped_ips,0.6,0.0,0.134375
4.0,clipped_ips,0.62,0.0,0.109375
4.0,clipped_ips,0.64,0.0,0.034375
4.0,clipped_ips,0.66,0.0,0.109375
4.0,clipped_ips,0.68,0.0,0.0
4.0,clipped_ips,0.7,0.0,0.025
4.0,clipped_ips,0.72,0.015625,0.0
4.0,clipped_ips,0.74,0.0,0.0
4.0,clipped_ips,0.76,0.0,0.003125
4.0,clipped_ips,0.78,0.0,0.046875
4.0,clipped_ips,0.8,0.003125,0.0
4.0,clipped_ips,0.82,0.0,0.0
4.0,clipped_ips,0.84,0.0,0.0
4.0,dr,0.5,0.0,0.0
4.0,dr,0.52,0.0,0.025
4.0,dr,0.54,0.053125,0.028125
4.0,dr,0.56,0.065625,0.015625
4.0,dr,0.58,0.071875,0.0
4.0,dr,0.6,0.0125,0.03125
4.0,dr,0.62,0.0375,0.034375
4.0,dr,0.64,0.03125,0.00625
4.0,dr,0.66,0.003125,0.0625
4.0,dr,0.68,0.009375,0.0
4.0,dr,0.7,0.0,0.01875
4.0,dr,0.72,0.034375,0.0
4.0,dr,0.74,0.003125,0.0
4.0,dr,0.76,0.0,0.003125
4.0,dr,0.78,0.0,0.03125
4.0,dr,0.8,0.0125,0.0
4.0,dr,0.82,0.0,0.0
4.0,dr,0.84,0.0,0.0
4.0,switch_dr,0.5,0.0,0.0
4.0,switch_dr,0.52,0.0,0.0
4.0,switch_dr,0.54,0.090625,0.0
4.0,switch_dr,0.56,0.09375,0.0
4.0,switch_dr,0.58,0.09375,0.0
4.0,switch_dr,0.6,0.0125,0.0
4.0,switch_dr,0.62,0.046875,0.00625
4.0,switch_dr,0.64,0.034375,0.0
4.0,switch_dr,0.66,0.0,0.040625
4.0,switch_dr,0.68,0.0125,0.0
4.0,switch_dr,0.7,0.0,0.0
4.0,switch_dr,0.72,0.04375,0.0
4.0,switch_dr,0.74,0.0,0.0
4.0,switch_dr,0.76,0.0,0.0
4.0,switch_dr,0.78,0.0,0.046875
4.0,switch_dr,0.8,0.0125,0.0
4.0,switch_dr,0.82,0.0,0.0
4.0,switch_dr,0.84,0.0,0.0
4.0,dros,0.5,0.0,0.0
4.0,dros,0.52,0.0,0.0
