seed,gamma,candidate,lam,lo,hi
1005,0.5,3.0,4.756828460010884,-0.03272844489045712,1.4397668852791274
1005,0.5,3.0,5.187358218604039,-0.07203810841967659,1.476514070223317
1005,0.5,3.0,5.656854249492381,-0.11075191616853068,1.5125889947219064
1005,0.5,3.0,6.168843301631764,-0.14912080826001559,1.5480759140208906
1005,0.5,3.0,6.727171322029717,-0.18716716636635838,1.5831747242204441
1005,0.5,3.0,7.336032345637371,-0.22492727190023756,1.6176674168026486
1005,0.5,3.0,8.0,-0.26213041003239873,1.652292491202894
1005,0.5,5.0,1.0,0.7830128979490547,0.7830128979490552
1005,0.5,5.0,1.0905077326652577,0.7417946808918136,0.824208450773106
1005,0.5,5.0,1.189207115002721,0.7005780127559121,0.8653385547014278
1005,0.5,5.0,1.2968395546510096,0.6593901244302237,0.9063762102471709
1005,0.5,5.0,1.4142135623730951,0.6183004704284724,0.9472691743534681
1005,0.5,5.0,1.5422108254079407,0.5773279316626236,0.9879550044890896
1005,0.5,5.0,1.681792830507429,0.5364954361198104,1.0284556150411597
1005,0.5,5.0,1.8340080864093424,0.4957974045758581,1.0687560275897563
1005,0.5,5.0,2.0,0.4552552661712894,1.1088214122464635
1005,0.5,5.0,2.1810154653305154,0.4149910509372329,1.1486512578007528
1005,0.5,5.0,2.378414230005442,0.37504496035802104,1.1881614691187035
1005,0.5,5.0,2.5936791093020193,0.33527756873906256,1.2274393283964142
1005,0.5,5.0,2.82842712474619,0.2957885993145801,1.2664092092081802
1005,0.5,5.0,3.0844216508158815,0.25654820301607517,1.305168986443846
1005,0.5,5.0,3.363585661014858,0.21741320244428033,1.3435711430660207
1005,0.5,5.0,3.668016172818685,0.1785970613343197,1.3814830370562776
1005,0.5,5.0,4.0,0.14013410242084703,1.418925982148357
1005,0.5,5.0,4.362030930661031,0.10209064380378716,1.4558079558304147
1005,0.5,5.0,4.756828460010884,0.06426658413484997,1.4920315105312336
1005,0.5,5.0,5.187358218604039,0.026775272393877246,1.5277243872689212
1005,0.5,5.0,5.656854249492381,-0.010526475281318216,1.5629195225029113
1005,0.5,5.0,6.168843301631764,-0.047706359009061464,1.5977033804833862
1005,0.5,5.0,6.727171322029717,-0.08440865649522958,1.6320900843415898
1005,0.5,5.0,7.336032345637371,-0.12062045552741067,1.6667785795689944
1005,0.5,5.0,8.0,-0.1565326525181058,1.7013235981851293
1006,0.5,3.0,1.0,0.7099992685804739,0.7099992685804742
1006,0.5,3.0,1.0905077326652577,0.667694506425105,0.7522943006520367
1006,0.5,3.0,1.189207115002721,0.6254106382002759,0.794554298545874
1006,0.5,3.0,1.2968395546510096,0.5831533855355151,0.8367695993787891
1006,0.5,3.0,1.4142135623730951,0.5409269371245266,0.8788884882018397
1006,0.5,3.0,1.5422108254079407,0.49876261216936224,0.9208405009660666
1006,0.5,3.0,1.681792830507429,0.4567048137361283,0.9626149535335383
1006,0.5,3.0,1.8340080864093424,0.41477467715901306,1.0041675855712633
1006,0.5,3.0,2.0,0.3730138179820348,1.045475750419327
1006,0.5,3.0,2.1810154653305154,0.3314069524256364,1.0864766451902392
1006,0.5,3.0,2.378414230005442,0.28996144910086313,1.1271211622749147
1006,0.5,3.0,2.5936791093020193,0.2487922602381086,1.1674715213718452
1006,0.5,3.0,2.82842712474619,0.2077973586474679,1.2073433017858568
1006,0.5,3.0,3.0844216508158815,0.16697369828791606,1.246900038618511
1006,0.5,3.0,3.363585661014858,0.1263633974715912,1.2862127555057565
1006,0.5,3.0,3.668016172818685,0.08612588001247487,1.325394277280187
1006,0.5,3.0,4.0,0.04620254256208644,1.3642049116618722
1006,0.5,3.0,4.362030930661031,0.006603923114281327,1.4026755108220967
1006,0.5,3.0,4.756828460010884,-0.03293499512781495,1.4407905892823842
1006,0.5,3.0,5.187358218604039,-0.07239493533887963,1.4786339426844382
1006,0.5,3.0,5.656854249492381,-0.11165268879959976,1.5160535581671906
1006,0.5,3.0,6.168843301631764,-0.15056853971058842,1.5529610435380419
1006,0.5,3.0,6.727171322029717,-0.18923654962846004,1.5896044689036688
1006,0.5,3.0,7.336032345637371,-0.22746594582515497,1.6259726444761284
1006,0.5,3.0,8.0,-0.2650837343536197,1.6620996008374862
1006,0.5,5.0,1.0,0.7786836536607235,0.7786836536607238
1006,0.5,5.0,1.0905077326652577,0.7375902415437784,0.8198016377696724
1006,0.5,5.0,1.189207115002721,0.6965395016172431,0.8609150720490525
1006,0.5,5.0,1.2968395546510096,0.6555532728142364,0.9019689404861182
1006,0.5,5.0,1.4142135623730951,0.6146528931174631,0.9429106192006006
1006,0.5,5.0,1.5422108254079407,0.5738055696422308,0.9837245426421571
1006,0.5,5.0,1.681792830507429,0.5330474389245239,1.0243518845481103
1006,0.5,5.0,1.8340080864093424,0.4924295005456361,1.0647634971150923
1006,0.5,5.0,2.0,0.4519827346815974,1.1049422431434024
1006,0.5,5.0,2.1810154653305154,0.41172364909820697,1.1448269251210008
1006,0.5,5.0,2.378414230005442,0.3717031892196561,1.184456634448458
1006,0.5,5.0,2.5936791093020193,0.33186629706663945,1.2236409439098184
1006,0.5,5.0,2.82842712474619,0.292231686310721,1.262636427276846
1006,0.5,5.0,3.0844216508158815,0.2529186724254547,1.3014361331874156
1006,0.5,5.0,3.363585661014858,0.21381085231877114,1.3400564523282825
1006,0.5,5.0,3.668016172818685,0.1748930858430749,1.3783812965298003
1006,0.5,5.0,4.0,0.13610497090899748,1.4163625048622097
1006,0.5,5.0,4.362030930661031,0.09773378940741978,1.4540513257069159
1006,0.5,5.0,4.756828460010884,0.05966670422385966,1.4914077316417194
1006,0.5,5.0,5.187358218604039,0.021913484757736017,1.5282899003504837
1006,0.5,5.0,5.656854249492381,-0.01568107218520241,1.5647139865173374
1006,0.5,5.0,6.168843301631764,-0.05347354657417053,1.600942187844811
1006,0.5,5.0,6.727171322029717,-0.09109879816816648,1.6368106182282713
1006,0.5,5.0,7.336032345637371,-0.1282956841253768,1.6725261638676394
1006,0.5,5.0,8.0,-0.16519525716426975,1.7077256760419026
1007,0.5,3.0,1.0,0.7084388548367804,0.7084388548367807
1007,0.5,3.0,1.0905077326652577,0.6665392739078541,0.7502769397570185
1007,0.5,3.0,1.189207115002721,0.6245847285427437,0.7920302581996265
1007,0.5,3.0,1.2968395546510096,0.5825682765895742,0.8336653855207113
1007,0.5,3.0,1.4142135623730951,0.5405222270796917,0.8751903691264576
1007,0.5,3.0,1.5422108254079407,0.4984978380921685,0.9165850778241915
1007,0.5,3.0,1.681792830507429,0.45643861199253405,0.9577866622945721
1007,0.5,3.0,1.8340080864093424,0.4143660296280605,0.9987870625236601
1007,0.5,3.0,2.0,0.3723608358051042,1.0395268956379575
1007,0.5,3.0,2.1810154653305154,0.33046019504717267,1.08006295149764
1007,0.5,3.0,2.378414230005442,0.28871138439138055,1.1203127027563702
1007,0.5,3.0,2.5936791093020193,0.24717615008029611,1.1603381869693363
1007,0.5,3.0,2.82842712474619,0.20583807759898895,1.2001360175927112
1007,0.5,3.0,3.0844216508158815,0.16465840788850855,1.2397339282548947
1007,0.5,3.0,3.363585661014858,0.12379851197692515,1.2790904032946766
1007,0.5,3.0,3.668016172818685,0.0832137631910665,1.3183501414149665
1007,0.5,3.0,4.0,0.04291477749807734,1.3573629359329011
1007,0.5,3.0,4.362030930661031,0.0027069504302554294,1.3961308649862585
1007,0.5,3.0,4.756828460010884,-0.03727911711592007,1.4344409027794842
1007,0.5,3.0,5.187358218604039,-0.07705865831212774,1.4721341166417845
1007,0.5,3.0,5.656854249492381,-0.1165046957924359,1.5092231001616618
1007,0.5,3.0,6.168843301631764,-0.15568719131328637,1.5458121497160882
1007,0.5,3.0,6.727171322029717,-0.19461912428304926,1.5819941003266407
1007,0.5,3.0,7.336032345637371,-0.23293934664980415,1.6174802161734843
1007,0.5,3.0,8.0,-0.2706401766663777,1.6527157748705676
1007,0.5,5.0,1.0,0.7773637802432913,0.7773637802432913
1007,0.5,5.0,1.0905077326652577,0.7367998147241435,0.8178947385328685
1007,0.5,5.0,1.189207115002721,0.6962254457151086,0.8583752412361952
