knob,seed,metric,n_events,onpolicy_mean,v_true_pi0
2000,1023,cvr,18,0.009,0.00900742069857814
2000,1023,rev,18,0.010268164827346769,0.00814766840343161
2000,1024,ctr,112,0.056,0.04967408156579895
2000,1024,cvr,21,0.0105,0.00900742069857814
2000,1024,rev,21,0.00885391248001355,0.00814766840343161
2000,1025,ctr,121,0.0605,0.04967408156579895
2000,1025,cvr,22,0.011,0.00900742069857814
2000,1025,rev,22,0.007512008758057711,0.00814766840343161
2000,1026,ctr,110,0.055,0.04967408156579895
2000,1026,cvr,16,0.008,0.00900742069857814
2000,1026,rev,16,0.0068838915894420365,0.00814766840343161
2000,1027,ctr,98,0.049,0.04967408156579895
2000,1027,cvr,17,0.0085,0.00900742069857814
2000,1027,rev,17,0.007999959080821137,0.00814766840343161
2000,1028,ctr,93,0.0465,0.04967408156579895
2000,1028,cvr,19,0.0095,0.00900742069857814
2000,1028,rev,19,0.008584968900250628,0.00814766840343161
2000,1029,ctr,119,0.0595,0.04967408156579895
2000,1029,cvr,32,0.016,0.00900742069857814
2000,1029,rev,32,0.016139822722854216,0.00814766840343161
2000,1030,ctr,89,0.0445,0.04967408156579895
2000,1030,cvr,15,0.0075,0.00900742069857814
2000,1030,rev,15,0.009143992316615777,0.00814766840343161
2000,1031,ctr,109,0.0545,0.04967408156579895
2000,1031,cvr,20,0.01,0.00900742069857814
2000,1031,rev,20,0.009282457755853327,0.00814766840343161
2000,1032,ctr,104,0.052,0.04967408156579895
2000,1032,cvr,21,0.0105,0.00900742069857814
2000,1032,rev,21,0.010322899964067758,0.00814766840343161
2000,1033,ctr,102,0.051,0.04967408156579895
2000,1033,cvr,15,0.0075,0.00900742069857814
2000,1033,rev,15,0.004829056257134226,0.00814766840343161
2000,1034,ctr,97,0.0485,0.04967408156579895
2000,1034,cvr,25,0.0125,0.00900742069857814
2000,1034,rev,25,0.010751575893415083,0.00814766840343161
2000,1035,ctr,112,0.056,0.04967408156579895
2000,1035,cvr,22,0.011,0.00900742069857814
2000,1035,rev,22,0.006965979858923331,0.00814766840343161
2000,1036,ctr,105,0.0525,0.04967408156579895
2000,1036,cvr,13,0.0065,0.00900742069857814
2000,1036,rev,13,0.0063248227457532976,0.00814766840343161
2000,1037,ctr,102,0.051,0.04967408156579895
2000,1037,cvr,22,0.011,0.00900742069857814
2000,1037,rev,22,0.011389184665276468,0.00814766840343161
2000,1038,ctr,92,0.046,0.04967408156579895
2000,1038,cvr,15,0.0075,0.00900742069857814
2000,1038,rev,15,0.005829904170815695,0.00814766840343161
2000,1039,ctr,88,0.044,0.04967408156579895
2000,1039,cvr,9,0.0045,0.00900742069857814
2000,1039,rev,9,0.006673988580727803,0.00814766840343161
10000,1000,ctr,475,0.0475,0.04967408156579895
10000,1000,cvr,89,0.0089,0.00900742069857814
