scenario,estimator,gate_form,seed,stat_ctr,stat_cvr,stat_rev,pass_ctr,pass_rev,pass_hhi,deploy_ope,deploy_full,true_pass_ctr,true_pass_rev,true_pass_hhi,true_deploy_ope,true_deploy_full,err_ctr,err_rev,err_hhi,err_ope,err_full,false_go_full,false_stop_full,ess_ratio_raw,max_weight_raw
s1_relevance,ips,comparative,1012,0.01111505329073393,0.00200235950951338,0.0015564196938915057,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,ips,absolute,1012,0.05941505329073393,0.01080235950951338,0.009173061167192487,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,snips,comparative,1012,0.010516004509957898,0.0018934453550142945,0.0014639328441145372,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,snips,absolute,1012,0.0588160045099579,0.010693445355014295,0.009080574317415518,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,ips,comparative,1013,0.010676372962086497,0.0023232434795888678,0.001999229729480679,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6976046751539686,2.8753493447265046
s1_relevance,ips,absolute,1013,0.059776372962086495,0.011523243479588868,0.010439099198008834,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6976046751539686,2.8753493447265046
s1_relevance,snips,comparative,1013,0.010450922768860373,0.002279782872323305,0.00195985803771225,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6976046751539686,2.8753493447265046
s1_relevance,snips,absolute,1013,0.05955092276886037,0.011479782872323305,0.010399727506240405,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6976046751539686,2.8753493447265046
s1_relevance,ips,comparative,1014,0.006909317329990471,0.0011106521140003666,0.0012381828569838337,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6900355294120846,2.926253780045963
s1_relevance,ips,absolute,1014,0.05510931732999047,0.010210652114000367,0.01049316841217084,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6900355294120846,2.926253780045963
s1_relevance,snips,comparative,1014,0.007496030213661034,0.0012193582536553001,0.0013498967630204677,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6900355294120846,2.926253780045963
s1_relevance,snips,absolute,1014,0.055696030213661034,0.0103193582536553,0.010604882318207474,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6900355294120846,2.926253780045963
s1_relevance,ips,comparative,1015,0.007672727700588716,0.001053470763863527,0.0017747732410986258,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6984740150772614,2.9085200224515755
s1_relevance,ips,absolute,1015,0.057972727700588714,0.011753470763863526,0.012727395916163658,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6984740150772614,2.9085200224515755
