source_axis,knob_name,knob_value,seed,estimator,variant,ess_ratio_raw,max_weight_raw,support_proxy,rel_err,gate,large_err
01,n,250,1017,switch_dr,,0.8246690500937649,2.1516567866200935,0.0,0.05058463282218159,trust,False
01,n,250,1017,dros,,0.8246690500937649,2.1516567866200935,0.0,0.030922395680271858,trust,False
01,n,250,1018,dm,,0.8409601662035812,2.546612867297595,0.0,0.04421765324187611,trust,False
01,n,250,1018,ips,,0.8409601662035812,2.546612867297595,0.0,0.06690645642938645,trust,False
01,n,250,1018,snips,,0.8409601662035812,2.546612867297595,0.0,0.07778417894685961,trust,False
01,n,250,1018,clipped_ips,,0.8409601662035812,2.546612867297595,0.0,0.0942379182531695,trust,False
01,n,250,1018,dr,,0.8409601662035812,2.546612867297595,0.0,0.07327682516250728,trust,False
01,n,250,1018,switch_dr,,0.8409601662035812,2.546612867297595,0.0,0.06671178652696537,trust,False
01,n,250,1018,dros,,0.8409601662035812,2.546612867297595,0.0,0.057622880054261916,trust,False
01,n,250,1019,dm,,0.8121171712667058,2.1932269776181963,0.0,0.033367894712844265,trust,False
01,n,250,1019,ips,,0.8121171712667058,2.1932269776181963,0.0,0.11664172385230535,trust,True
01,n,250,1019,snips,,0.8121171712667058,2.1932269776181963,0.0,0.06041365540205318,trust,False
01,n,250,1019,clipped_ips,,0.8121171712667058,2.1932269776181963,0.0,0.14777632269663524,trust,True
01,n,250,1019,dr,,0.8121171712667058,2.1932269776181963,0.0,0.024726295320445717,trust,False
01,n,250,1019,switch_dr,,0.8121171712667058,2.1932269776181963,0.0,0.046531458711175096,trust,False
01,n,250,1019,dros,,0.8121171712667058,2.1932269776181963,0.0,0.031117052743668376,trust,False
01,n,250,1020,dm,,0.8196316554530868,2.5103032973812844,0.0,0.04377927813927092,trust,False
01,n,250,1020,ips,,0.8196316554530868,2.5103032973812844,0.0,0.15466640822937455,trust,True
01,n,250,1020,snips,,0.8196316554530868,2.5103032973812844,0.0,0.14132484466926967,trust,True
01,n,250,1020,clipped_ips,,0.8196316554530868,2.5103032973812844,0.0,0.18637214037632882,trust,True
01,n,250,1020,dr,,0.8196316554530868,2.5103032973812844,0.0,0.12330392624615208,trust,True
01,n,250,1020,switch_dr,,0.8196316554530868,2.5103032973812844,0.0,0.12624331034289651,trust,True
01,n,250,1020,dros,,0.8196316554530868,2.5103032973812844,0.0,0.09665825003770945,trust,False
01,n,250,1021,dm,,0.8104747110230667,2.532732291060902,0.0,0.03135731482612478,trust,False
01,n,250,1021,ips,,0.8104747110230667,2.532732291060902,0.0,0.05078321756047436,trust,False
01,n,250,1021,snips,,0.8104747110230667,2.532732291060902,0.0,0.05025341534883062,trust,False
01,n,250,1021,clipped_ips,,0.8104747110230667,2.532732291060902,0.0,0.0953019341132474,trust,False
01,n,250,1021,dr,,0.8104747110230667,2.532732291060902,0.0,0.05035093232479967,trust,False
01,n,250,1021,switch_dr,,0.8104747110230667,2.532732291060902,0.0,0.09831237804046661,trust,False
01,n,250,1021,dros,,0.8104747110230667,2.532732291060902,0.0,0.06615273853528959,trust,False
01,n,250,1022,dm,,0.8252992551273538,2.4402221680451284,0.0,0.0455507890091308,trust,False
01,n,250,1022,ips,,0.8252992551273538,2.4402221680451284,0.0,0.05161830769111724,trust,False
01,n,250,1022,snips,,0.8252992551273538,2.4402221680451284,0.0,0.026206488692979115,trust,False
01,n,250,1022,clipped_ips,,0.8252992551273538,2.4402221680451284,0.0,0.008764901683789027,trust,False
01,n,250,1022,dr,,0.8252992551273538,2.4402221680451284,0.0,0.019006855288772197,trust,False
01,n,250,1022,switch_dr,,0.8252992551273538,2.4402221680451284,0.0,0.01952651302935825,trust,False
01,n,250,1022,dros,,0.8252992551273538,2.4402221680451284,0.0,0.019520126819055218,trust,False
01,n,250,1023,dm,,0.8260541861651438,2.122090208128372,0.0,0.034294293308273834,trust,False
01,n,250,1023,ips,,0.8260541861651438,2.122090208128372,0.0,0.045303303726952925,trust,False
01,n,250,1023,snips,,0.8260541861651438,2.122090208128372,0.0,0.04397649824576421,trust,False
01,n,250,1023,clipped_ips,,0.8260541861651438,2.122090208128372,0.0,0.06260215530954238,trust,False
